code,sector,stock_name
600429.XSHG,主要消费,三元股份
002461.XSHE,主要消费,珠江啤酒
002216.XSHE,主要消费,三全食品
600251.XSHG,主要消费,冠农股份
002646.XSHE,主要消费,天佑德酒
600059.XSHG,主要消费,古越龙山
600300.XSHG,主要消费,维维股份
600108.XSHG,主要消费,亚盛集团
002041.XSHE,主要消费,登海种业
002477.XSHE,主要消费,雏鹰退
000848.XSHE,主要消费,承德露露
600073.XSHG,主要消费,上海梅林
600779.XSHG,主要消费,水井坊
000799.XSHE,主要消费,酒鬼酒
000860.XSHE,主要消费,顺鑫农业
600872.XSHG,主要消费,中炬高新
002157.XSHE,主要消费,*ST正邦
002458.XSHE,主要消费,益生股份
603198.XSHG,主要消费,迎驾贡酒
603983.XSHG,主要消费,丸美股份
002946.XSHE,主要消费,新乳业
603345.XSHG,主要消费,安井食品
603605.XSHG,主要消费,珀莱雅
603719.XSHG,主要消费,良品铺子
002124.XSHE,主要消费,天邦食品
000869.XSHE,主要消费,张裕A
300741.XSHE,主要消费,华宝股份
002568.XSHE,主要消费,百润股份
600519.XSHG,主要消费,贵州茅台
600597.XSHG,主要消费,光明乳业
600598.XSHG,主要消费,北大荒
600600.XSHG,主要消费,青岛啤酒
600737.XSHG,主要消费,中粮糖业
600809.XSHG,主要消费,山西汾酒
600873.XSHG,主要消费,梅花生物
600887.XSHG,主要消费,伊利股份
603156.XSHG,主要消费,养元饮品
603288.XSHG,主要消费,海天味业
603317.XSHG,主要消费,天味食品
603369.XSHG,主要消费,今世缘
603517.XSHG,主要消费,绝味食品
603589.XSHG,主要消费,口子窖
603866.XSHG,主要消费,桃李面包
605499.XSHG,主要消费,东鹏饮料
600315.XSHG,主要消费,上海家化
600298.XSHG,主要消费,安琪酵母
600132.XSHG,主要消费,重庆啤酒
000729.XSHE,主要消费,燕京啤酒
000858.XSHE,主要消费,五粮液
000876.XSHE,主要消费,新希望
000895.XSHE,主要消费,双汇发展
000930.XSHE,主要消费,中粮科技
000998.XSHE,主要消费,隆平高科
002299.XSHE,主要消费,圣农发展
002304.XSHE,主要消费,洋河股份
002311.XSHE,主要消费,海大集团
002507.XSHE,主要消费,涪陵榨菜
002511.XSHE,主要消费,中顺洁柔
002557.XSHE,主要消费,洽洽食品
002714.XSHE,主要消费,牧原股份
300146.XSHE,主要消费,汤臣倍健
300498.XSHE,主要消费,温氏股份
300957.XSHE,主要消费,贝泰妮
300999.XSHE,主要消费,金龙鱼
002385.XSHE,主要消费,大北农
000596.XSHE,主要消费,古井贡酒
000568.XSHE,主要消费,泸州老窖
600797.XSHG,信息技术,浙大网新
300085.XSHE,信息技术,银之杰
600601.XSHG,信息技术,方正科技
600654.XSHG,信息技术,ST中安
600666.XSHG,信息技术,ST瑞德
600850.XSHG,信息技术,电科数字
000748.XSHE,信息技术,长城信息
002161.XSHE,信息技术,远望谷
300104.XSHE,信息技术,乐视退
603005.XSHG,信息技术,晶方科技
000555.XSHE,信息技术,神州信息
002315.XSHE,信息技术,焦点科技
600074.XSHG,信息技术,退市保千
603528.XSHG,信息技术,多伦科技
600289.XSHG,信息技术,ST信通
002123.XSHE,信息技术,梦网科技
002106.XSHE,信息技术,莱宝高科
002063.XSHE,信息技术,远光软件
000662.XSHE,信息技术,天夏退
300032.XSHE,信息技术,金龙机电
002657.XSHE,信息技术,中科金财
002261.XSHE,信息技术,拓维信息
300202.XSHE,信息技术,聚龙退
002308.XSHE,信息技术,威创股份
000503.XSHE,信息技术,国新健康
002642.XSHE,信息技术,荣联科技
002354.XSHE,信息技术,天娱数科
300287.XSHE,信息技术,飞利信
002405.XSHE,信息技术,四维图新
600100.XSHG,信息技术,同方股份
300297.XSHE,信息技术,蓝盾退
000727.XSHE,信息技术,冠捷科技
000536.XSHE,信息技术,华映科技
000413.XSHE,信息技术,东旭光电
002280.XSHE,信息技术,联络互动
603025.XSHG,信息技术,大豪科技
002217.XSHE,信息技术,合力泰
603328.XSHG,信息技术,依顿电子
002093.XSHE,信息技术,国脉科技
300324.XSHE,信息技术,旋极信息
300459.XSHE,信息技术,汤姆猫
002544.XSHE,信息技术,普天科技
603888.XSHG,信息技术,新华网
600410.XSHG,信息技术,华胜天成
300113.XSHE,信息技术,顺网科技
002456.XSHE,信息技术,欧菲光
600703.XSHG,信息技术,三安光电
300002.XSHE,信息技术,神州泰岳
300010.XSHE,信息技术,*ST豆神
002635.XSHE,信息技术,安洁科技
300271.XSHE,信息技术,华宇软件
600446.XSHG,信息技术,金证股份
002387.XSHE,信息技术,维信诺
002815.XSHE,信息技术,崇达技术
300166.XSHE,信息技术,东方国信
688088.XSHG,信息技术,虹软科技
600728.XSHG,信息技术,佳都科技
603613.XSHG,信息技术,国联股份
300168.XSHE,信息技术,万达信息
002745.XSHE,信息技术,木林森
600718.XSHG,信息技术,东软集团
300115.XSHE,信息技术,长盈精密
600171.XSHG,信息技术,上海贝岭
688220.XSHG,信息技术,翱捷科技
002241.XSHE,信息技术,歌尔股份
002268.XSHE,信息技术,电科网安
002273.XSHE,信息技术,水晶光电
002368.XSHE,信息技术,太极股份
002371.XSHE,信息技术,北方华创
002373.XSHE,信息技术,千方科技
002409.XSHE,信息技术,雅克科技
688234.XSHG,信息技术,天岳先进
002415.XSHE,信息技术,海康威视
002439.XSHE,信息技术,启明星辰
002463.XSHE,信息技术,沪电股份
002475.XSHE,信息技术,立讯精密
002600.XSHE,信息技术,领益智造
002841.XSHE,信息技术,视源股份
